drug_chembl_id,rxcui,embedding
CHEMBL1000,20610,"[ 2.18938217e-02  1.67829376e-02 -3.72678563e-02 -4.85468805e-02
 -1.56100139e-01  2.55889483e-02  2.49965992e-02  2.62720371e-03
 -1.30669251e-02  4.94677722e-02  1.40690478e-02 -5.89931533e-02
  3.45328338e-02 -1.78721342e-02  3.02647185e-02 -7.97926262e-02
  1.47677558e-02  1.83846533e-01  2.10292503e-01  3.13503928e-02
  1.54169193e-02 -8.51343647e-02 -1.17039360e-01 -1.72368493e-02
  1.23506915e-02  2.96519101e-02 -2.36030538e-02  6.30294904e-02
  6.03612363e-02  5.46145812e-02 -6.61854297e-02 -1.34382680e-01
 -1.93470046e-02 -4.10576649e-02  2.18165703e-02  5.66101633e-02
 -9.15519595e-02 -2.12484635e-02 -7.05691129e-02 -3.27712707e-02
  8.68551258e-04  1.36188298e-01 -3.66876312e-02  3.24485969e-04
  3.35149877e-02  5.84478416e-02 -9.75855216e-02  9.79597569e-02
  1.43826112e-01 -4.13766541e-02  3.82137038e-02 -3.73147503e-02
 -2.82944180e-02 -1.95722673e-02 -3.84164602e-02  9.93455853e-03
 -5.31885363e-02 -1.03414737e-01 -4.87690717e-02 -2.76018586e-02
 -9.68725071e-05  2.98292655e-02  9.63989645e-03  4.13962454e-02
  4.12845751e-03  7.31965229e-02 -1.09840848e-01 -4.30198275e-02
  9.91317183e-02  1.29490808e-01 -3.43572302e-03 -1.02427788e-01
  1.30420581e-01  8.21585655e-02  4.26924713e-02 -6.02597697e-03
  1.73451751e-02  6.84928373e-02  1.76916346e-01 -1.16777204e-01
  3.85760632e-03 -1.22029155e-01 -3.27559710e-02 -6.11814531e-03
 -1.04423940e-01  1.27827853e-01 -2.11237911e-02  2.45210100e-02
 -5.60746305e-02  5.53491265e-02  4.55796830e-02  5.79561666e-02
  2.06755139e-02 -1.66142266e-02  1.13629485e-02  1.44975325e-02
 -6.36426508e-02  3.85146514e-02  1.26864146e-02 -6.89829886e-02
 -1.61308004e-03  2.44027916e-02  2.73467861e-02  1.63012519e-02
  7.33350823e-03 -1.94362849e-02  4.19268385e-02  4.52783667e-02
  5.60222231e-02 -2.79022213e-02 -1.64440759e-02 -7.38235796e-03
 -9.20766871e-03 -4.57108356e-02 -4.99631204e-02  5.55152595e-02
  2.39284337e-02 -3.98520380e-02  4.25663963e-02  1.19057111e-01
  5.42854592e-02 -5.52135073e-02  6.47832602e-02  6.57242090e-02
  1.23497788e-02  9.94132683e-02  1.47150904e-02  1.00381978e-01
  1.67686306e-02  8.74921214e-03  3.48779149e-02 -2.58786092e-03
  8.62372816e-02  3.67803685e-02 -1.00355539e-02  8.61588791e-02
 -3.09375171e-02 -2.16627754e-02  1.05159461e-01  3.36004198e-02
  3.01215425e-03 -2.55204421e-02 -4.72699627e-02  5.76416999e-02
 -6.85694739e-02  8.46310928e-02 -8.03579111e-03  5.04750945e-02
 -9.37265251e-03  1.27489399e-02 -6.71566203e-02  1.15236500e-03
  3.79111171e-02  1.19373426e-01 -2.95546558e-02  5.57916388e-02
  8.67329724e-03  5.23566976e-02  8.14594328e-02 -5.96103035e-02
  1.65541619e-02 -8.36234540e-02 -6.12129131e-03 -1.26637751e-02
  1.54252380e-01 -9.95199308e-02 -3.90179604e-02 -4.10792418e-02
 -6.21845536e-02 -7.51202852e-02  2.96362154e-02  2.89975721e-02
  2.12564599e-02 -3.20526138e-02 -3.81339043e-02  6.99742138e-02
  4.20830064e-02 -6.73978543e-03 -1.06262706e-01  2.57256087e-02
  1.64985836e-01 -5.95678166e-02  7.56038204e-02  1.00292146e-01
 -8.62776563e-02  1.31074786e-01 -5.99550456e-02  2.15787422e-02
  1.21215068e-01 -4.44431454e-02  1.36563154e-02  3.47215980e-02
  9.09325406e-02 -5.62833361e-02 -6.28320202e-02  4.48741093e-02
  1.04816638e-01 -4.65743951e-02 -7.04237223e-02 -1.85413682e-03
 -1.14199206e-01  1.31822168e-03  2.79649906e-02 -1.54524168e-03
 -1.42219635e-02  7.66938701e-02 -6.12238944e-02  7.33032031e-03
  1.11415446e-01 -5.48149310e-02 -1.92365050e-02 -5.53881144e-03
  5.59667312e-02 -1.50728691e-02  3.03171910e-02  6.48596883e-03
 -1.66756511e-02 -4.03571278e-02  4.42674644e-02  4.11327183e-02
 -1.02708675e-02  2.50643250e-02 -1.15906633e-02 -1.44078268e-03
  1.75991692e-02  4.35627587e-02 -5.87492133e-04 -2.31077941e-03
 -1.55891730e-02  2.91357320e-02  3.43874469e-02 -9.14075300e-02
  2.05121445e-03  4.08123583e-02 -7.89892301e-02 -7.57056922e-02
 -7.67036155e-02 -2.15922575e-02  9.08414572e-02 -5.54053411e-02
 -3.65693681e-02  5.36909960e-02  5.61449453e-02 -4.69558015e-02
  3.44353914e-02  5.82402684e-02  5.31637929e-02 -4.55926023e-02
  4.55222577e-02  4.39976342e-02  4.19695042e-02  5.58223389e-02
 -1.87936481e-02  1.35842348e-02  4.56255376e-02  1.30378768e-01]"
CHEMBL1002,237159,"[ 0.02701767  0.03330968 -0.03412928 -0.01708014 -0.16298482  0.02942587
  0.02911155 -0.00422673 -0.01648295  0.03743702 -0.00681666 -0.07905115
  0.02114307 -0.03565122  0.03771629 -0.07252128  0.01472316  0.16580087
  0.21907699  0.04148039  0.01082997 -0.07766483 -0.10810062 -0.01975161
  0.01423085  0.02128105 -0.00764749  0.07415001  0.0655385   0.04003583
 -0.06745568 -0.11677692 -0.0348638  -0.01583158  0.0136968   0.05332848
 -0.07961385 -0.01470975 -0.06973744 -0.0316397   0.011966    0.14298891
 -0.06400203 -0.00550711  0.02608628  0.04733027 -0.11180691  0.09030398
  0.12966022 -0.03119051  0.02483258 -0.04063099 -0.02449442 -0.01122618
 -0.03295334  0.01842493 -0.0454214  -0.1185984  -0.05517584 -0.01971899
 -0.01940638  0.04021806  0.01391036  0.04264444  0.03220341  0.09742945
 -0.11950053 -0.04786193  0.09973914  0.13098952  0.00513279 -0.10014462
  0.11948821  0.07921252  0.05953922  0.00923522 -0.00868314  0.06492846
  0.15736347 -0.12485074  0.01827009 -0.10299797 -0.02860998  0.01012177
 -0.118529    0.11807829 -0.01075815  0.00639463 -0.05144795  0.04375893
  0.03773092  0.06930371  0.02812572 -0.00971703  0.02285124 -0.00060574
 -0.05177129  0.05927461  0.00921574 -0.08374776  0.00439109  0.02649726
  0.03854724  0.03248519  0.02560553 -0.03520845  0.05298511  0.07108074
  0.05220278 -0.04136274 -0.01538482 -0.01275515 -0.01554836 -0.0203055
 -0.0446191   0.05189428  0.04408658 -0.05002137  0.03712117  0.11746916
  0.03963858 -0.03508572  0.0635981   0.07030848  0.01528131  0.10392433
  0.01845356  0.0951867   0.02163482 -0.00720657  0.03264472  0.0102645
  0.08862667  0.0215885  -0.01594396  0.08458965 -0.01889153 -0.03709847
  0.12112194  0.03746581  0.00639941 -0.01174597 -0.04451314  0.03224685
 -0.05029972  0.076867    0.00511748  0.06520831  0.00208724  0.00892728
 -0.05944304  0.02448432  0.02453829  0.11575534 -0.03210494  0.03830993
  0.00672372  0.05465002  0.07887037 -0.03110403  0.03027183 -0.07426943
 -0.00962969 -0.01431301  0.14823434 -0.08829042 -0.03447396 -0.04455429
 -0.08370844 -0.07147917  0.03602033  0.0135133   0.02561445 -0.01492478
 -0.03297485  0.09313483  0.02375795 -0.00719753 -0.09115867  0.03106161
  0.18895686 -0.05756857  0.08419386  0.08865311 -0.07319963  0.13458791
 -0.07243318  0.01676913  0.12201613 -0.04157866  0.02159161  0.02701857
  0.10650027 -0.04210377 -0.08676312  0.03283766  0.11730212 -0.04622926
 -0.07480824  0.00525011 -0.10215972  0.01097559  0.01730892  0.00765765
  0.0013475   0.07748872 -0.06405192  0.00052043  0.106305   -0.05332201
 -0.04119896 -0.01015155  0.05906322 -0.02141692  0.00097265  0.00600599
 -0.01136956 -0.02807487  0.05501156  0.02984179 -0.00200822  0.02448819
 -0.01478887 -0.00542876  0.0010361   0.03065592 -0.03456138 -0.00218829
 -0.03527065  0.01169715  0.03526457 -0.10069625  0.00535166  0.04875168
 -0.07382989 -0.06147452 -0.08828232 -0.00264482  0.10018953 -0.07113036
 -0.05519304  0.05643983  0.0302803  -0.05364633  0.03993676  0.06190013
  0.05180759 -0.04397714  0.03696356  0.03579568  0.0533081   0.06750555
 -0.02327137  0.0099474   0.01865939  0.12001048]"
