drug_chembl_id,smiles,embedding,embedding_dim
CHEMBL1000,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,"[-1.06360793 -0.59832817  0.92691106  0.40187988 -0.89606982 -0.53241354
  1.20487165 -1.47793138  0.56840801  0.14788149  0.53368938  1.1827606
 -0.84043562 -0.61577368 -1.73864245 -0.86589658 -0.82932699  0.26955852
 -1.39951575 -1.08957374 -1.25819564 -1.10871255 -0.7732349   1.33528543
  1.31927299 -0.3428708   0.07679576  0.38254037 -0.3439365   0.54439628
  0.52560067 -0.66542089 -1.75746274 -1.1812979  -0.71070623  0.57590026
  0.99604732 -0.52025855 -1.66104066  0.57353842  0.02337074 -0.76059425
 -0.16232708 -0.31918621  1.0372442   0.54036939  0.39518577 -1.76058543
 -1.03019738 -0.07102446  0.03311696  2.0431304   1.60153234  0.90782487
 -0.17714484  0.86644197 -0.00891018  1.31520402 -1.92005789 -0.92797065
  0.6567601  -0.71333092  0.48155257 -0.12787095 -0.21064164  0.97610867
 -1.08451283 -0.93952131 -1.77990186 -0.35676357  1.10156071  0.53262681
  0.90968132  1.46905291  0.10607843  2.05802488 -1.61534834  0.54315907
 -0.45034873 -0.11336187 -0.2988598  -0.94557548  0.94115794 -1.26090968
 -0.81813067  0.36735544  0.22475117  1.30763793 -1.23835123 -1.09443247
 -0.23195392 -1.3268131  -0.27405089  2.09757876  1.27758408  1.2448988
  1.3053484  -1.52901292 -0.94766682 -1.83045185  1.5023886  -0.40447769
  0.17498519  0.4599939   1.25077116  0.76795328  0.84843069  0.04599857
  0.21438712 -0.50345659  0.65862501  0.98643839 -1.35220349  1.43561029
  1.6772176  -1.85693574 -0.48636425 -0.65110111  0.91498715 -1.46745312
  0.573659   -0.6569894   0.64352548 -0.84232551  0.90463489 -0.62809974
  0.8839097  -1.39549041 -0.53363103 -0.41804677  0.12510552 -0.63408726
 -1.03677809 -1.50655556 -0.70957619  0.25914344 -0.3863138   0.60714358
 -1.25532019  0.69306666  0.67227876 -0.92362458  1.37802172 -1.34572935
  0.80798608 -0.48877648  1.28513801 -0.13234071 -0.13150163  0.08007116
  1.14428914 -1.16365016  1.06737506  0.36800388 -0.99718159  0.80722272
  1.19733775  0.31535861  0.74315482 -1.508708    0.83292222  0.89367324
 -0.47437561  0.67773831  0.95412624 -0.12773256  0.88989437 -1.18175638
 -1.2610606  -0.05594879 -0.7976501   1.21207213 -0.32750899 -0.74422413
  0.28677776  0.62723762 -0.52410752  1.39015794  1.36311972 -0.95804083
  2.16929698 -1.18057013 -1.0054332   1.12456012  1.15548301  1.09848559
 -0.63267106 -0.71781093 -1.0402993  -0.21814902  0.29715362  2.15354919
 -1.49587333  1.91043866  1.48237765 -1.03062701  0.17993197 -0.00866413
  1.19392729  0.1100136   0.88385177  0.67872041  1.43673182  1.41300762
  1.72423506 -0.04062553  0.11564924 -1.43047404 -0.56346107 -0.58789992
  1.18858159 -1.00709867  0.97238153  0.2589615   0.83799517  0.76956612
 -0.64439493  0.65846872  1.85532796 -0.23269062  0.99087751  0.20454223
  0.72226197  0.94053376  0.20988475 -0.77872783 -1.42944741  1.3534677
 -0.87626785 -0.96946198 -1.54916012  0.17776886 -0.79023153 -0.16312124
  1.22148001  0.20838976 -1.77523768  0.20562534  0.65689248 -0.9024176
 -1.40438545  1.36790645  0.86108726  0.01359055 -0.00676974 -0.45294565
 -0.47850105 -0.58110726  1.22142076  1.34133434 -1.46481228 -0.99999285
 -1.6267128  -1.29206121 -1.31521416 -0.75846547]",256
CHEMBL1002,CC(C)(C)NC[C@H](O)c1ccc(O)c(CO)c1,"[-1.00967896e+00 -6.09898150e-01  9.92032468e-01  4.49515164e-01
 -9.48004246e-01 -4.94824886e-01  1.22243559e+00 -1.43208826e+00
  6.01857185e-01  2.42609039e-01  5.79463661e-01  1.18331623e+00
 -9.00112569e-01 -5.61358631e-01 -1.66626585e+00 -8.90749335e-01
 -9.10601914e-01  3.22784364e-01 -1.39673209e+00 -1.09000003e+00
 -1.26543093e+00 -1.11475396e+00 -8.18873286e-01  1.33537245e+00
  1.32061350e+00 -4.05118287e-01  8.71059895e-02  4.25697535e-01
 -3.46644610e-01  5.40044785e-01  5.20234585e-01 -6.51985109e-01
 -1.78125012e+00 -1.19756544e+00 -6.96495116e-01  5.74002624e-01
  9.96227562e-01 -4.87004876e-01 -1.62583363e+00  5.30643284e-01
  2.77519915e-02 -8.42287421e-01 -2.06729025e-01 -3.05922151e-01
  1.09266984e+00  6.14892244e-01  4.55807000e-01 -1.71827722e+00
 -9.88579988e-01 -7.27130622e-02  2.14968007e-02  1.99164629e+00
  1.56441581e+00  9.76452589e-01 -1.11134902e-01  8.84274781e-01
 -4.41911221e-02  1.27859247e+00 -1.90826893e+00 -1.06162810e+00
  6.41073883e-01 -7.64198184e-01  5.04002690e-01 -4.63800654e-02
 -1.63330078e-01  1.00036740e+00 -1.03834367e+00 -8.96548510e-01
 -1.76676810e+00 -3.59770536e-01  1.05683827e+00  5.25605917e-01
  9.40579712e-01  1.52185845e+00  1.05413035e-01  2.04280090e+00
 -1.64388371e+00  5.37876308e-01 -4.48846936e-01 -9.04905349e-02
 -3.04549515e-01 -9.44315314e-01  9.31954205e-01 -1.23243153e+00
 -8.60067070e-01  3.39328855e-01  2.21408501e-01  1.28294826e+00
 -1.23574185e+00 -1.13797534e+00 -2.35124961e-01 -1.27219188e+00
 -3.45675856e-01  2.10316849e+00  1.22463262e+00  1.24342728e+00
  1.29630005e+00 -1.56856608e+00 -9.45760906e-01 -1.88567734e+00
  1.44385970e+00 -4.25776124e-01  1.55170187e-01  3.85217935e-01
  1.22264993e+00  7.27899790e-01  7.94941723e-01  6.48844168e-02
  2.29534104e-01 -5.04244506e-01  6.79076612e-01  9.42938864e-01
 -1.29935563e+00  1.39169776e+00  1.76365173e+00 -1.89926219e+00
 -4.73797351e-01 -5.86282611e-01  8.18629205e-01 -1.43669069e+00
  5.12899876e-01 -5.57658970e-01  6.30276203e-01 -8.92058194e-01
  8.93215775e-01 -6.51264489e-01  8.37142289e-01 -1.40499067e+00
 -5.36885202e-01 -4.11041975e-01  1.44949570e-01 -6.77357018e-01
 -1.12439501e+00 -1.47443032e+00 -6.92218781e-01  3.16672772e-01
 -3.99126828e-01  6.99240148e-01 -1.30129683e+00  7.01230347e-01
  6.81778252e-01 -9.34567988e-01  1.31836522e+00 -1.35813808e+00
  7.83225298e-01 -4.59208012e-01  1.25126517e+00 -2.06011504e-01
 -6.52537718e-02  6.23711646e-02  1.06605256e+00 -1.16405964e+00
  1.07032955e+00  4.12316948e-01 -9.97033656e-01  8.07034731e-01
  1.22750819e+00  3.57790828e-01  7.97052681e-01 -1.54207909e+00
  8.27552199e-01  9.28387284e-01 -4.97396708e-01  6.56909287e-01
  1.00978673e+00 -1.31814510e-01  8.51321936e-01 -1.21443594e+00
 -1.24733078e+00 -6.29546074e-03 -7.44949162e-01  1.22434497e+00
 -3.36497754e-01 -7.80858934e-01  2.63350248e-01  5.85545540e-01
 -5.54221272e-01  1.38109696e+00  1.38532901e+00 -9.33887720e-01
  2.20603347e+00 -1.17355609e+00 -9.80504632e-01  1.16006160e+00
  1.14644957e+00  1.05180633e+00 -6.34700418e-01 -7.44144976e-01
 -1.03763378e+00 -2.34451041e-01  3.12050998e-01  2.27561522e+00
 -1.52522731e+00  1.93367195e+00  1.52969229e+00 -9.63250399e-01
  2.46288687e-01 -1.33679027e-03  1.21722770e+00  1.09899148e-01
  9.17776704e-01  6.89766467e-01  1.39181650e+00  1.40463877e+00
  1.71197975e+00 -5.91339059e-02  9.17270854e-02 -1.41490030e+00
 -4.93895054e-01 -5.51027656e-01  1.19478595e+00 -1.00730610e+00
  9.31126058e-01  2.48872563e-01  7.90132403e-01  7.96104312e-01
 -6.51786983e-01  6.27282143e-01  1.78346837e+00 -2.08762288e-01
  1.01784599e+00  1.56802207e-01  7.36704409e-01  9.57871854e-01
  2.68827379e-01 -7.29244530e-01 -1.49672139e+00  1.26807606e+00
 -8.61034572e-01 -1.00828695e+00 -1.57199728e+00  2.50835359e-01
 -7.14707971e-01 -1.72077686e-01  1.27226913e+00  1.76760882e-01
 -1.78683758e+00  1.88316062e-01  6.48631215e-01 -8.39642465e-01
 -1.36887813e+00  1.29782724e+00  8.50001395e-01 -1.91654246e-02
 -4.11570398e-03 -5.72162747e-01 -4.75067168e-01 -6.50719523e-01
  1.22464728e+00  1.30316770e+00 -1.47250748e+00 -9.59241688e-01
 -1.55327988e+00 -1.28142142e+00 -1.32471156e+00 -8.29642951e-01]",256
