DTI PREDICTION SCORES:
Accuracy: 0.8036
F1-Score: 0.5795
ROC-AUC:  0.7983

ADR PREDICTION REGRESSION SCORES:
MSE: 0.0005
MAE: 0.0107
R2: -0.8845

Per-ADR Regression Metrics:
meddra_10001076: MSE=0.0004, MAE=0.0112, R2=-9.1537
meddra_10001099: MSE=0.0002, MAE=0.0094, R2=0.0000
meddra_10001118: MSE=0.0004, MAE=0.0113, R2=-1.4640
meddra_10001125: MSE=0.0005, MAE=0.0119, R2=-1.4202
meddra_10001130: MSE=0.0003, MAE=0.0086, R2=0.0000
meddra_10001141: MSE=0.0003, MAE=0.0095, R2=0.0000
meddra_10001231: MSE=0.0002, MAE=0.0077, R2=-5.5130
meddra_10001315: MSE=0.0002, MAE=0.0083, R2=0.0000
meddra_10001335: MSE=0.0001, MAE=0.0071, R2=0.0000
meddra_10001344: MSE=0.0002, MAE=0.0087, R2=0.0000
meddra_10001346: MSE=0.0002, MAE=0.0075, R2=0.0000
meddra_10001361: MSE=0.0003, MAE=0.0109, R2=0.0000
meddra_10001367: MSE=0.0007, MAE=0.0129, R2=-0.3675
meddra_10001382: MSE=0.0003, MAE=0.0107, R2=0.0000
meddra_10001387: MSE=0.0002, MAE=0.0092, R2=0.0000
meddra_10001389: MSE=0.0003, MAE=0.0102, R2=0.0000
meddra_10001426: MSE=0.0002, MAE=0.0085, R2=0.0000
meddra_10001443: MSE=0.0003, MAE=0.0092, R2=0.0000
meddra_10001480: MSE=0.0004, MAE=0.0098, R2=-0.2593
meddra_10001488: MSE=0.0005, MAE=0.0117, R2=-0.5599
meddra_10001490: MSE=0.0002, MAE=0.0088, R2=0.0000
meddra_10001493: MSE=0.0004, MAE=0.0104, R2=-1.1288
meddra_10001494: MSE=0.0002, MAE=0.0087, R2=0.0000
meddra_10001497: MSE=0.0009, MAE=0.0169, R2=-0.0954
meddra_10001502: MSE=0.0002, MAE=0.0090, R2=0.0000
meddra_10001507: MSE=0.0008, MAE=0.0172, R2=-0.4330
meddra_10001509: MSE=0.0005, MAE=0.0118, R2=-0.4444
meddra_10001510: MSE=0.0004, MAE=0.0106, R2=0.0000
meddra_10001538: MSE=0.0001, MAE=0.0070, R2=0.0000
meddra_10001539: MSE=0.0001, MAE=0.0058, R2=0.0000
meddra_10001540: MSE=0.0008, MAE=0.0136, R2=-0.4418
meddra_10001541: MSE=0.0007, MAE=0.0095, R2=-0.2117
meddra_10001580: MSE=0.0004, MAE=0.0114, R2=-0.3278
meddra_10001584: MSE=0.0002, MAE=0.0084, R2=0.0000
meddra_10001598: MSE=0.0005, MAE=0.0125, R2=-3.4252
